0	0	0
y	w	1.78
b	l	2.68
y	l	3.58
r	w	4.12
0	0	0
b	l	3.04
y	l	1.42
y	l	2.86
r	w	3.22
b	l	1.78
r	w	1.96
y	l	2.68
r	w	1.78
y	w	2.14
b	w	2.5
y	l	3.94
y	w	2.32
b	l	2.14
r	w	1.42
r	l	3.04
b	l	1.24
r	w	3.58
b	l	2.32
y	w	4.12
b	l	4.12
y	w	2.5
b	l	3.94
b	l	3.22
r	w	4.12
r	w	2.68
y	l	3.4
r	w	2.5
y	l	3.76
y	w	1.78
b	l	1.42
y	l	3.04
r	w	3.4
y	l	3.22
r	w	1.24
b	l	3.58
b	l	3.76
r	w	3.76
r	w	2.14
y	w	3.58
r	l	1.6
b	l	2.86
b	l	2.68
y	w	1.24
y	l	1.96
b	w	1.6
r	w	2.86
r	w	2.32
b	l	3.4
r	w	3.94
b	l	1.96
y	w	1.6
b	l	2.59
r	l	3.49
y	l	3.85
r	w	4.21
b	l	4.03
y	w	3.67
b	l	3.67
r	w	4.03
y	l	2.77
r	w	1.51
r	l	1.87
y	l	4.21
y	w	1.33
y	w	1.87
y	w	1.51
r	w	3.13
b	l	3.13
b	l	3.85
r	w	2.59
b	l	4.21
b	l	2.95
r	w	2.05
b	l	2.77
y	l	3.49
b	w	1.87
y	w	2.95
y	l	3.13
r	w	3.67
r	w	1.69
y	w	2.59
b	l	2.41
r	w	1.33
y	w	3.31
b	l	2.23
y	w	2.23
y	l	4.03
b	l	1.33
r	w	2.41
b	l	3.31
r	w	2.23
r	w	3.85
y	w	2.41
r	w	3.31
r	w	2.77
b	l	2.05
b	l	1.69
b	w	3.49
y	l	1.69
r	w	2.95
y	l	2.05
b	l	1.51
